"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
2035,"Compliance in Children With Cerebral Palsy Supplied With AFOs","Not yet recruiting","No Results Available","Cerebral Palsy","Device: Ankle Foot Orthosis (AFO)","ORLAU, RJAH Orthopaedic Hospital, Oswestry, Shropshire, United Kingdom","https://ClinicalTrials.gov/show/NCT04081675"
2036,"Examining the Efficacy of Acceptance and Commitment Therapy (ACT) Microinterventions for Distressed First-Generation College Students","Not yet recruiting","No Results Available","Psychological Distress|Self-Assessment|Mood Change","Behavioral: compACT Intervention","University of Wisconsin, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT04081662"
2037,"Cerebral Oxygenation and Neurological Functioning After Cardiac Surgery","Recruiting","No Results Available","Coronary Artery Disease|Cognitive Impairment|Delirium",,"Kingston General Hospital, Kingston, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04081649"
2038,"Prostate Biopsy: Efficacy and Complications","Recruiting","No Results Available","Biopsy, Needle|Infection","Procedure: Transrectal biopsy (TR-Bx)|Procedure: Transperineal biopsy (TP-Bx)","Albany Medical College, Albany, New York, United States","https://ClinicalTrials.gov/show/NCT04081636"
2039,"Trans-abdominal Fetal Pulse Oximetry: Signal Integrity","Recruiting","No Results Available","Fetal Distress","Device: Raydiant Oximetry Sensing System","Tufts Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04081623"
2040,"Clinical Trial to Evaluate the Safety and Tolerability of Lagricel® Ofteno Multi-dose Ophthalmic Solution","Not yet recruiting","No Results Available","Dry Eye","Drug: lagricel ofteno multidose|Drug: lagricel ofteno single dose","Biomedical research G & LS de RL de CV, Guadalajara, Jalisco, Mexico","https://ClinicalTrials.gov/show/NCT04081610"
2041,"A Study of Single Ascending Doses of STAR-101 in Healthy Participants","Not yet recruiting","No Results Available","Healthy Volunteers","Drug: Star-101|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT04081597"
2042,"Trans-abdominal Fetal Pulse Oximetry: Tissue Light Scattering","Recruiting","No Results Available","Fetal Distress","Device: ISS Device","Tufts Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04081584"
2043,"Prevalence of NAFLD and Correlation With Its Main Risk Factors Among Egyptian","Recruiting","No Results Available","NAFLD|Insulin Resistance|Hepatic Steatosis",,"Faculty of Medicine Cairo University, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04081571"
2044,"Electronic Symptom Follow-up of Cancer Patients","Recruiting","No Results Available","Cancer","Device: Electronic patient reported outcomes tool","Oulu University Hospital, Oulu, Finland|Vaasa Central Hospital, Vaasa, Finland","https://ClinicalTrials.gov/show/NCT04081558"
2045,"Effect of Opioid Free Anesthetic on Post-Operative Opioid Consumption After Laparoscopic Bariatric Surgery","Not yet recruiting","No Results Available","Opioid Use, Unspecified|Bariatric Surgery Candidate|Anesthesia","Drug: Opioid Anesthetics|Drug: Non Opioid Analgesics","Virginia Mason Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04081545"
2046,"The Effectiveness of Laparoscopic Treatment of Superficial Endometriosis for Managing Chronic Pelvic Pain","Not yet recruiting","No Results Available","Endometriosis|Pelvic Pain","Procedure: surgical removal of superficial peritoneal endometriosis",,"https://ClinicalTrials.gov/show/NCT04081532"
2047,"Stimulation of Parieto-hippocampal Connectivity in Patients With Major Depressive Disorder","Completed","No Results Available","Depression|Depressive Disorder|Depressive Episode|Depressive Disorder, Major","Device: active rTMS over DLPFC|Device: Add-on active rTMS over DLPFC|Device: Add-on active rTMS over LPC|Device: Add-on sham rTMS","Klinik und Poliklinik für Psychiatrie und Psychotherapie, Bonn, Germany","https://ClinicalTrials.gov/show/NCT04081519"
2048,"Targeting the Optimal Mean Arterial Pressure in Hypoxic Ischemic Brain Injury After Cardiac Arrest","Not yet recruiting","No Results Available","Cardiac Arrest","Other: Individualized perfusion targets",,"https://ClinicalTrials.gov/show/NCT04081506"
2049,"The Efficacy of Low-load Blood Flow Restricted Resistance Before TKR","Not yet recruiting","No Results Available","Total Knee Replacement","Other: Low-load blood flow restricted exercise","Horsens Regional Hospital, Horsens, Denmark|Silkeborg Regional Hospital, Silkeborg, Denmark","https://ClinicalTrials.gov/show/NCT04081493"
2050,"Pharmacokinetics of Valacyclovir Oral Solution in Children","Not yet recruiting","No Results Available","Herpes Simplex Virus Infection|Varicella Zoster Virus Infection","Drug: Valacyclovir","Prinses Maxima Centrum voor kinderoncologie, Utrecht, Netherlands","https://ClinicalTrials.gov/show/NCT04081480"
2051,"Biological and Functional Markers for Precision Astronautical Biomedicine","Recruiting","No Results Available","Muscular Atrophy","Other: Bed rest","Splosna bolnisnica Izola (Hospital of Izola), Izola, Slovenia","https://ClinicalTrials.gov/show/NCT04081467"
2052,"Comfortability Workshop","Not yet recruiting","No Results Available","Chronic Pain","Behavioral: Workshop|Behavioral: Education",,"https://ClinicalTrials.gov/show/NCT04081454"
2053,"Impacts of Clean Cookstoves and Empowerment Training on Women's Health in Refugee Settings","Active, not recruiting","No Results Available","Gender-based Violence|Adherence|Mental Health Wellness 1|Empowerment|Food Insecurity|Relationship, Family","Device: Inyenyeri clean cookstove and fuel system|Behavioral: I-ACT (Individual, Agency-Centered Training) workshop","Plan International, Rwanda, Kacyiru, Kigali, Rwanda","https://ClinicalTrials.gov/show/NCT04081441"
2054,"Using Breath, Cell Free DNA and Image Analysis to PRedIct Normal TissUe and Tumour Response During Prostate Cancer SBRT","Recruiting","No Results Available","Prostate Cancer|Radiotherapy Side Effects|Volatile Organic Compounds|DNA Damage","Radiation: Stereotactic Body Radiotherapy","Edinburgh Cancer Centre, Western General Hospital, Edinburgh, Mid Lothian, United Kingdom","https://ClinicalTrials.gov/show/NCT04081428"
2055,"Longitudinal Study of the Intestinal, Cutaneous and Salivary Microbiota in Children With Food-induced Enterocolitis Syndrome (SEIPA)","Not yet recruiting","No Results Available","FPIES",,"Trousseau Hospital, Service : Nutrition et Gastroentérologie Pédiatrique, Paris, France","https://ClinicalTrials.gov/show/NCT04081415"
2056,"A Phase 1/3 Clinical Trial to Evaluate the Safety and Efficacy of HUTOX Compared to Botox® in Subjects With Moderate to Severe Crow's Feet Lines","Recruiting","No Results Available","Crow's Feet Lines","Biological: HU-014|Biological: Botox Inj","Huons, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04081402"
2057,"Chemokine Modulation Therapy and Standard Chemotherapy Before Surgery for the Treatment of Early Stage Triple Negative Breast Cancer","Not yet recruiting","No Results Available","Anatomic Stage 0 Breast Cancer AJCC v8|Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Early-Stage Breast Carcinoma|Estrogen Receptor Negative|HER2/Neu Negative|Progesterone Receptor Negative|Prognostic Stage 0 Breast Cancer AJCC v8|Prognostic Stage I Breast Cancer AJCC v8|Prognostic Stage IA Breast Cancer AJCC v8|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage II Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Triple-Negative Breast Carcinoma","Drug: Celecoxib|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Doxorubicin Hydrochloride|Drug: Paclitaxel|Biological: Recombinant Interferon Alfa-2b|Drug: Rintatolimod","Roswell Park Cancer Institute, Buffalo, New York, United States","https://ClinicalTrials.gov/show/NCT04081389"
2058,"Generation of Biological Samples Positive to Hydromorphone for Anti-doping Control","Not yet recruiting","No Results Available","Healthy Volunteers","Drug: Hydromorphone Hydrochloride","IMIM (Hospital del Mar Medical Research Institute), Barcelona, Spain","https://ClinicalTrials.gov/show/NCT04081376"
2059,"Open-label, Single-dose Trial to Assess the Pharmacokinetics of Centanafadine Extended-release Capsules in Pediatric Subjects With Attention-deficit Hyperactivity Disorder","Not yet recruiting","No Results Available","Attention Deficit Hyperactivity Disorder","Drug: Centanafadine",,"https://ClinicalTrials.gov/show/NCT04081363"
2060,"A Study of LY3471851 in Participants With Eczema","Not yet recruiting","No Results Available","Dermatitis, Atopic","Drug: LY3471851|Drug: Placebo","California Dermatology and Clinical Research Institute, Encinitas, California, United States|Therapeutics Clinical Research, San Diego, California, United States|Florida Academic Dermatology Centers, Coral Gables, Florida, United States|Forward Clinical Trials, Inc, Tampa, Florida, United States|Medical Dermatology Specialists, Sandy Springs, Georgia, United States|Treasure Valley Dermatology, Boise, Idaho, United States|Dawes Fretzin Clinical Research, Indianapolis, Indiana, United States|Skin Sciences, Louisville, Kentucky, United States|Dermatology Specialist, Louisville, Kentucky, United States|Somerset Skin Centre, Troy, Michigan, United States|Central Dermatology PC, Saint Louis, Missouri, United States|ActivMed Practices & Research, Inc, Portsmouth, New Hampshire, United States|Unity Clinical Research, Oklahoma City, Oklahoma, United States|Paddington Testing Company Inc, Philadelphia, Pennsylvania, United States|DermDox Centers for Dermatology, Sugarloaf, Pennsylvania, United States|The Skin Wellness Center PC, Knoxville, Tennessee, United States|Berkson Medical, Frisco, Texas, United States","https://ClinicalTrials.gov/show/NCT04081350"
2061,"A Study to Measure Food and Calorie Consumption in Very Overweight Participants Using Tirzepatide","Not yet recruiting","No Results Available","Obesity","Drug: Tirzepatide|Drug: Placebo","Pennington Biomedical Research Center, Baton Rouge, Louisiana, United States","https://ClinicalTrials.gov/show/NCT04081337"
2062,"A Study of Lasmiditan in Healthy Chinese Participants","Not yet recruiting","No Results Available","Healthy","Drug: Lasmiditan|Drug: Placebo","HuaShan Hospital Affiliated To Fudan University, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04081324"
2063,"A Comparison of the Efficacy of Interdental Floss to Water Flosser Around Dental Implants","Not yet recruiting","No Results Available","Implant Site Bleeding","Device: comparing interdental floss to water flosser around dental implants",,"https://ClinicalTrials.gov/show/NCT04081311"
2064,"eHealth Diet and Physical Activity Program for the Improvement of Health in Rural Latino Cancer Survivors","Not yet recruiting","No Results Available","Cancer Survivor|Malignant Neoplasm","Behavioral: Health Education|Other: Physical Activity|Other: Text Message|Other: Web Site|Device: FitBit|Device: Actigraph|Other: Quality-of-Life Assessment|Other: Questionnaire Administration","Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04081298"
2065,"Epigenetic Biomarkers for Alzheimer's Disease","Recruiting","No Results Available","Alzheimer Disease",,"The Chinese University of Hong Kong, Hong Kong, Hong Kong","https://ClinicalTrials.gov/show/NCT04081285"
2066,"Effect of G6PD Deficiency on Red Blood Cell Storage","Completed","No Results Available","G6PD Deficiency","Drug: Sodium Chromate Cr51","Columbia University Irving Medical Center, New York, New York, United States|New York Blood Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04081272"
2067,"LY3214996 in Patients With AML Who Are Not Candidates for Standard Therapy","Not yet recruiting","No Results Available","Acute Myeloid Leukemia","Drug: LY3214996","Dana Farber Cancer Institute, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04081259"
2068,"Transurethral Modified En Bloc Resection For Large Bladder Tumours.","Recruiting","No Results Available","Bladder Cancer|Bladder Neoplasm|Bladder Tumor","Device: Bipolar transurethral modified en bloc resection of bladder tumour","Prince of Wales Hospital, Hong Kong, Hong Kong","https://ClinicalTrials.gov/show/NCT04081246"
2069,"Surgical Stabilization for Rib Fractures","Not yet recruiting","No Results Available","Trauma Chest|Rib Fracture Multiple","Procedure: surgical stabilization|Procedure: Usual care","The University of Texas Health Science Center at Houston, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04081233"
2070,"Hematology, IMG-7289, LSD1 (Lysine-Specific Demethylase 1) Inhibitor, Essential Thrombocythemia (ET), Ph 2","Not yet recruiting","No Results Available","Thrombocythemia, Essential","Drug: IMG-7289",,"https://ClinicalTrials.gov/show/NCT04081220"
2071,"Using Augmentative & Alternative Communication to Promote Language Recovery for People With Post-Stroke Aphasia","Recruiting","No Results Available","Post-stroke Aphasia|Aphasia","Behavioral: AAC for Language Recovery (AAC-LaRc)","University of Cincinnati, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT04081207"
2072,"Cell Free Circulating Nucleic Acids as New Tumor Diagnostics From Human Plasma Samples.","Recruiting","No Results Available","New Tumor Diagnostics From Human Plasma Samples",,"Assiut University Hospitals- Faculty of Medicine, Assiut, Egypt","https://ClinicalTrials.gov/show/NCT04081194"
2073,"Microwave Ablation in Pulmonary Malignancies","Not yet recruiting","No Results Available","Lung Cancer","Procedure: Microwave ablation",,"https://ClinicalTrials.gov/show/NCT04081181"
2074,"COLLISION XL: Unresectable Colorectal Liver Metastases (3-5cm): Stereotactic Body Radiotherapy vs. Microwave Ablation","Not yet recruiting","No Results Available","Colorectal Cancer Metastatic|Liver Metastasis Colon Cancer","Device: Stereotactic Body Radiotherapy|Device: Microwave Ablation",,"https://ClinicalTrials.gov/show/NCT04081168"
2075,"Effect of PEEP on Lung Regional Ventilation and Perfusion","Recruiting","No Results Available","Mechanical Ventilation Complication|Respiratory Failure|Hypoxia",,"Peking Union Medical College Hospital, Chinese Academy of Medical Science, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04081155"
